Time,Growing Degree Days,Air Temperature Secondary (°C),Atmospheric Pressure (kPa),Rain Bucket Capacity (mL),Calculated Fallen Rain (mm),East Wind Speed (m/s),Wind Gust (m/s),Humidity Sensor Temperature (°C),Latitude,Longitude,North Wind Speed (m/s),Precipitation (mm),Relative Humidity (%),Rain Bucket Tips per Minute,Vapor Pressure (kPa),Wind Direction (°),Wind Speed (m/s),X Orientation,Y Orientation
2024-01-16T17:10:54.200Z,,22.10,99.54,5.00,0.00,-0.15,0.25,22.20,38.630938,-90.226172,0.04,0.00,32.00,0.00,0.84,284.60,0.15,-1.00,-0.20
2024-01-16T18:34:56.121Z,12.10,,,,,,,,,,,,,,,,,,
2024-01-16T19:18:57.350Z,,23.20,100.71,5.00,0.00,0.04,0.16,23.10,38.630363,-90.230016,0.03,0.00,9.00,0.00,0.24,56.70,0.05,-1.10,-0.80
2024-01-16T19:18:57.992Z,,23.20,100.69,5.00,0.00,0.03,0.17,23.20,38.630363,-90.230016,0.06,0.00,9.00,0.00,0.24,27.40,0.07,-1.00,-0.60
2024-01-16T19:18:58.650Z,,23.20,100.75,5.00,0.00,0.04,0.08,23.00,38.630363,-90.230016,0.07,0.00,10.00,0.00,0.27,30.30,0.08,-1.10,-0.60
2024-01-16T19:18:59.347Z,,23.10,100.74,5.00,0.00,0.04,0.16,23.10,38.630363,-90.230016,0.02,0.00,9.00,0.00,0.25,60.80,0.05,-1.20,-0.70
2024-01-16T19:19:00.138Z,,23.10,100.74,5.00,0.00,0.04,0.12,23.00,38.630363,-90.230016,0.03,0.00,9.00,0.00,0.26,48.40,0.05,-1.40,-0.70
2024-01-16T19:34:24.000Z,,23.00,100.59,5.00,0.00,0.05,0.20,23.10,38.621787,-90.219297,-0.07,0.00,9.00,0.00,0.25,143.70,0.08,-1.40,-0.50
2024-01-16T19:49:24.000Z,,22.90,100.59,5.00,0.00,0.02,0.21,23.00,38.621787,-90.219297,-0.05,0.00,9.00,0.00,0.26,158.50,0.05,-1.10,-0.70
2024-01-16T20:04:24.000Z,,22.90,100.59,5.00,0.00,0.02,0.09,23.00,38.621787,-90.219297,-0.03,0.00,9.00,0.00,0.25,142.40,0.04,-1.00,-0.40
2024-01-16T20:19:24.000Z,,23.00,100.58,5.00,0.00,0.04,0.10,23.00,38.621787,-90.219297,-0.02,0.00,9.00,0.00,0.25,109.50,0.05,-1.10,-0.80
2024-01-16T20:34:24.000Z,,22.80,100.57,5.00,0.00,0.04,0.18,23.00,38.621787,-90.219297,0.02,0.00,9.00,0.00,0.25,56.40,0.04,-1.00,-0.70
2024-01-16T20:44:07.806Z,,23.10,100.59,5.00,0.00,0.05,0.12,23.10,38.621787,-90.219297,0.00,0.00,9.00,0.00,0.25,87.60,0.05,-1.30,-0.60
2024-01-16T20:49:24.000Z,,23.20,100.57,5.00,0.00,0.05,0.15,23.10,38.630938,-90.226172,-0.01,0.00,9.00,0.00,0.25,96.20,0.05,-1.00,-0.70
2024-01-16T21:04:24.000Z,,22.90,100.56,5.00,0.00,0.05,0.20,23.10,38.630938,-90.226172,-0.08,0.00,9.00,0.00,0.24,147.90,0.09,-1.40,-0.40
2024-01-16T21:19:24.000Z,,23.00,100.56,5.00,0.00,0.03,0.20,23.00,38.630938,-90.226172,-0.04,0.00,9.00,0.00,0.24,149.60,0.05,-1.00,-0.80
2024-01-16T21:34:24.000Z,,23.20,100.55,5.00,0.00,0.03,0.12,23.00,38.630938,-90.226172,0.03,0.00,9.00,0.00,0.25,45.00,0.04,-0.80,-0.70
2024-01-16T21:34:56.267Z,12.65,,,,,,,,,,,,,,,,,,
2024-01-16T21:49:24.000Z,,23.20,100.55,5.00,0.00,0.05,0.18,23.10,38.630938,-90.226172,-0.01,0.00,9.00,0.00,0.25,101.60,0.05,-0.80,-0.80
2024-01-16T22:04:21.000Z,,,,5.00,0.00,,,,38.630938,-90.226172,,,,0.00,,,,,
2024-01-16T22:19:24.000Z,,23.00,100.55,5.00,0.00,0.01,0.10,23.10,38.630938,-90.226172,-0.03,0.00,8.00,0.00,0.22,160.60,0.03,-1.40,-0.60
2024-01-16T22:34:24.000Z,,23.10,100.55,5.00,0.00,0.04,0.13,23.10,38.630938,-90.226172,0.01,0.00,8.00,0.00,0.23,76.50,0.05,-1.40,-0.40
2024-01-16T22:49:24.000Z,,23.10,100.55,5.00,0.00,0.05,0.16,23.10,38.630938,-90.226172,0.00,0.00,8.00,0.00,0.23,94.60,0.05,-1.00,-0.80
2024-01-16T23:04:24.000Z,,23.10,100.54,5.00,0.00,0.04,0.10,23.20,38.621787,-90.219297,-0.01,0.00,8.00,0.00,0.23,108.40,0.04,-0.80,-0.70
2024-01-16T23:19:24.000Z,,23.10,100.55,5.00,0.00,0.05,0.22,23.20,38.621787,-90.219297,-0.04,0.00,8.00,0.00,0.22,134.50,0.06,-1.30,-0.50
2024-01-16T23:34:24.000Z,,22.90,100.55,5.00,0.00,0.02,0.17,23.10,38.621787,-90.219297,-0.04,0.00,8.00,0.00,0.21,160.40,0.05,-0.90,-0.70
2024-01-16T23:49:24.000Z,,23.00,100.55,5.00,0.00,0.01,0.06,23.10,38.621787,-90.219297,-0.02,0.00,7.00,0.00,0.20,146.60,0.02,-1.00,-0.60
